Code,Opština,Autohtono,Doseljeno,Godina
80357,Ruma,49.2924050865861,50.7075949134139,2011
80403,Sremska Mitrovica,53.0773079809857,46.9226920190143,2011
80420,Stara Pazova,45.7821619649805,54.2178380350195,2011
80497,Šid,46.9404469404469,53.0595530595531,2011
70041,Arilje,57.0349084716901,42.9650915283099,2011
70068,Bajina Bašta,55.6452232726155,44.3547767273845,2011
70629,Kosjerić,70.2894954507858,29.7105045492142,2011
70866,Nova Varoš,62.7118644067797,37.2881355932203,2011
70955,Požega,55.6447803495513,44.3552196504487,2011
70971,Priboj,60.4393174363321,39.5606825636679,2011
70980,Prijepolje,61.5235165546831,38.4764834453169,2011
71072,Sjenica,74.0678993634435,25.9321006365565,2011
71145,Užice,58.6545361353152,41.3454638646848,2011
71234,Čajetina,54.5676500508647,45.4323499491353,2011
70360,Valjevo,58.4806005846399,41.5193994153601,2011
70700,Lajkovac,57.5121163166397,42.4878836833603,2011
70769,Ljig,58.0680570801317,41.9319429198683,2011
70831,Mionica,59.6860830136031,40.3139169863969,2011
70882,Osečina,64.7814294830887,35.2185705169113,2011
71218,Ub,58.5203257620013,41.4796742379987,2011
70289,Bogatić,66.6897482948447,33.3102517051553,2011
70408,Vladimirci,63.1943649066545,36.8056350933456,2011
70637,Koceljeva,62.3962221037398,37.6037778962602,2011
70661,Krupanj,64.1341428158427,35.8658571841573,2011
70734,Loznica,58.8084763069321,41.1915236930679,2011
70777,Ljubovija,62.9621950376667,37.0378049623333,2011
70793,Mali Zvornik,55.2635795545586,44.7364204454414,2011
71269,Šabac,54.2723758241,45.7276241759,2011
70483,Gornji Milanovac,53.6886907174706,46.3113092825294,2011
70564,Ivanjica,63.592278572099,36.407721427901,2011
70742,Lučani,59.8411255204096,40.1588744795904,2011
71242,Čačak,54.6190728040438,45.3809271959562,2011
70491,Despotovac,65.8315725928162,34.1684274071838,2011
70904,Paraćin,63.0304929759227,36.9695070240773,2011
71030,Rekovac,62.0533695160561,37.9466304839439,2011
71048,Jagodina,54.5259700495463,45.4740299504537,2011
71056,Svilajnac,61.5685108912573,38.4314891087427,2011
71200,Ćuprija,61.3183227280144,38.6816772719856,2011
70017,Aleksandrovac,58.4722117487369,41.5277882512631,2011
70343,Brus,61.1080468223325,38.8919531776675,2011
70378,Varvarin,67.3438717577647,32.6561282422353,2011
70670,Kruševac,57.432894246303,42.567105753697,2011
71170,Trstenik,59.0815994041801,40.9184005958199,2011
71196,Ćićevac,60.5951878429717,39.4048121570283,2011
70459,Vrnjačka Banja,47.3099139027137,52.6900860972863,2011
70653,Kraljevo,51.698170342981,48.301829657019,2011
70874,Novi Pazar,72.4469674335226,27.5530325664774,2011
71021,Raška,51.3939541291839,48.6060458708161,2011
71188,Tutin,65.4565880276039,34.5434119723961,2011
70033,Aranđelovac,55.0286641427799,44.9713358572201,2011
70076,Batočina,53.4438775510204,46.5561224489796,2011
70599,Knić,58.0880803540072,41.9119196459928,2011
70645,Kragujevac,55.8375181838956,44.1624818161044,2011
71013,Rača,57.9066330522472,42.0933669477528,2011
71153,Topola,61.8478212190425,38.1521787809575,2011
71277,Lapovo,62.5622049253541,37.4377950746459,2011
70327,Bor,60.2406664609688,39.7593335390312,2011
70572,Kladovo,67.0559728616428,32.9440271383572,2011
70785,Majdanpek,64.8025259552606,35.1974740447394,2011
70840,Negotin,63.8655008635579,36.1344991364421,2011
70394,Veliko Gradište,62.0556501987507,37.9443498012493,2011
70475,Golubac,64.4940583363342,35.5059416636658,2011
70521,Žabari,70.9841827768014,29.0158172231986,2011
70530,Žagubica,81.0002355342702,18.9997644657298,2011
70696,Kučevo,68.0072183552462,31.9927816447538,2011
70807,Malo Crniće,71.312620003491,28.687379996509,2011
70912,Petrovac na Mlavi,67.3054160401804,32.6945839598196,2011
70947,Požarevac,55.7628409809229,44.2371590190771,2011
71340,Kostolac,54.2641343403975,45.7358656596026,2011
70319,Boljevac,69.1549946128983,30.8450053871017,2011
70556,Zaječar,54.3263651805385,45.6736348194615,2011
70602,Knjaževac,48.7980692896383,51.2019307103617,2011
71129,Sokobanja,57.3622120966232,42.6377879033768,2011
70297,Bojnik,59.185878962536,40.814121037464,2011
70424,Vlasotince,60.5258756230556,39.4741243769444,2011
70718,Lebane,60.9272727272727,39.0727272727273,2011
70726,Leskovac ,64.2220157275009,35.7779842724991,2011
70815,Medveđa,64.5603656897015,35.4396343102985,2011
71226,Crna Trava,65.7847263980758,34.2152736019242,2011
70025,Aleksinac,55.6716734473517,44.3283265526483,2011
70467,Gadžin Han,65.6812492549768,34.3187507450232,2011
70513,Doljevac,67.0151113036885,32.9848886963115,2011
70823,Merošina,62.2852233676976,37.7147766323024,2011
71005,Ražanj,64.0983606557377,35.9016393442623,2011
71064,Svrljig,56.5583549722788,43.4416450277212,2011
71285,Niška Banja,47.2956403269755,52.7043596730245,2011
71307,Pantelej,49.4017125976891,50.5982874023109,2011
71315,Crveni krst,53.7630413919074,46.2369586080926,2011
71323,Palilula (Niš),52.6903429492825,47.3096570507175,2011
71331,Medijana,49.2503111586735,50.7496888413265,2011
70050,Babušnica,56.9432030551719,43.0567969448281,2011
70084,Bela Palanka,53.0100610258948,46.9899389741052,2011
70505,Dimitrovgrad,47.0547539039336,52.9452460960664,2011
70939,Pirot,58.4812180638033,41.5187819361967,2011
70386,Velika Plana,60.5862793995404,39.4137206004596,2011
71099,Smederevo,57.1153970556978,42.8846029443022,2011
71102,Smederevska Palanka,62.2345079945907,37.7654920054093,2011
70335,Bosilegrad,57.1287981301513,42.8712018698487,2011
70351,Bujanovac,63.3143299939116,36.6856700060885,2011
70416,Vladičin Han,54.2475204829668,45.7524795170332,2011
70432,Vranje,59.5896894947528,40.4103105052472,2011
71358,Vranjska Banja,61.6388308977035,38.3611691022965,2011
70963,Preševo,69.9675324675325,30.0324675324675,2011
71137,Surdulica,57.2715192676805,42.7284807323195,2011
71161,Trgovište,65.7631113730112,34.2368886269888,2011
70262,Blace,58.8565594691169,41.1434405308831,2011
70548,Žitorađa,64.8704789833822,35.1295210166178,2011
70688,Kuršumlija,57.7942018425025,42.2057981574975,2011
70998,Prokuplje,59.9923456178662,40.0076543821338,2011
